Trading name,Owner's name,Current address,GPhC registration number,Status
Adrian D Richards,Adrian David Richards,"The Pharmacy, 39 Heol Jwbili, Cwmavon, PORT TALBOT, West Glamorgan, SA12 9NR, UK",1043804,Registered
Adswood Pharmacy,Graphictrail Ltd,"205 Garners Lane, STOCKPORT, Cheshire, SK3 8QJ, UK",1029745,Registered
Ahmed Pharmacy,Ahmed Chem Ltd,"71 Basingstoke Road, READING, Berkshire, RG2 0ER, UK",1028963,Registered
Ahmeys Pharmacy,Ahmeys Limited,"2 Market Square, BICESTER, Oxfordshire, OX26 6AA, UK",1111712,Registered
Ahmeys Pharmacy,Ahmeys Limited,"150 Oxford Road, Cowley, OXFORD, OX4 2EA, UK",1115951,Registered
Ainsworths Homeopathic Pharmacy,Ainsworths (London) Ltd,"36 New Cavendish Street, LONDON, W1G 8UF, UK",1041309,Registered
Air Balloon Pharmacy,Bristol Pharma Limited,"Air Balloon Surgery, Kenn Road, St George, BRISTOL, Avon, BS5 7PD, UK",1028674,Registered
Airedale Pharmacy,Excel Pharma Solutions Ltd,"55 South Street, KEIGHLEY, West Yorkshire, BD21 1AD, UK",1123408,Registered
Airedale Pharmacy,Ezct Limited,"Elizabeth Court, Elizabeth Drive, CASTLEFORD, West Yorkshire, WF10 3TG, UK",1114905,Registered
Airth Pharmacy,Airth Pharmacy Ltd,"2 Shore Road, Airth, FALKIRK, Stirlingshire, FK2 8LH, UK",1092302,Registered
Akhtar; S.,Shahnaz Ud Din,"134 Cricklewood Broadway, LONDON, NW2 3EE, UK",1040559,Registered
Akro,Samuel Tetteh Adjei,"404 Katherine Road, Forest Gate, LONDON, E7 8NP, UK",1040072,Registered
Akshar Pharmacies,Nilesh Chandubhai Patel,"91 Cricklewood Lane, LONDON, NW2 1HR, UK",1040557,Registered
Akshar Pharmacies,Nilesh Chandubhai Patel,"8a Rushbrook Crescent, LONDON, E17 5BZ, UK",1040226,Registered
Al Farabi Pharmacy,Al Rasheed United Limited,"39 Edgware Road, LONDON, W2 2JE, UK",1106227,Registered
Al Razi Pharmacy,Keybasis Ltd,"80 Edgware Road, LONDON, W2 2EA, UK",1126645,Registered
Al Shafa Pharmacy,IPHARMA 2 LTD,"Units 2 & 3, Hillside Building, Beeston Road, LEEDS, LS11 6AY, UK",1116886,Registered
Al Shafa Pharmacy,Your Prescriptions Limited,"93 Shireland Road, SMETHWICK, West Midlands, B66 4QJ, UK",1103406,Registered
